longitude_list,latitude_list,OVIII_column_number_density_integrate_data_list
105.0,10.0,14.245910327299931
105.0,15.0,14.333438751726687
105.0,20.0,14.365869006220231
105.0,25.0,14.426216173928117
105.0,30.0,14.40135583441766
105.0,35.0,14.40326898041326
105.0,40.0,14.474299193130685
105.0,45.0,14.444345948117256
105.0,50.0,14.342376280267947
105.0,55.0,14.368653556092612
105.0,60.0,14.37621201497407
105.0,65.0,14.500768551340212
105.0,70.0,14.532313552905274
105.0,75.0,14.561791276674692
105.0,80.0,14.55586548701115
105.0,85.0,14.549266208134123
105.0,90.0,14.534958148663772
110.0,-90.0,14.405611173066939
110.0,-85.0,14.43596539286148
110.0,-80.0,14.53813482685166
110.0,-75.0,14.591100629993697
110.0,-70.0,14.64080674117295
110.0,-65.0,14.670834751253505
110.0,-60.0,14.691581408483783
110.0,-55.0,14.667249676647032
110.0,-50.0,14.659180762073651
110.0,-45.0,14.523131128106114
110.0,-40.0,14.372874191849736
110.0,-35.0,14.263282713172014
110.0,-30.0,14.243050391652735
110.0,-25.0,13.994480677547793
110.0,-20.0,13.651952199029417
110.0,-15.0,13.831170457674082
110.0,-10.0,13.359229587969587
110.0,-5.0,12.869594749781003
110.0,0.0,12.645011733650387
110.0,5.0,12.974829815488306
110.0,10.0,14.107068327747967
110.0,15.0,14.252837913111799
110.0,20.0,14.314734935883713
